Installation ID,Installation Name,Installation Name (Clean),Company Name (MoE),Installation Address,First Verified Emissions Year,Last Verified Emissions Year,Main Activity Code,Main Activity Name
CZ-0144,Vápenka Čertovy schody,Vápenka Čertovy schody,Vápenka Čertovy schody a.s.,,2008,2025,30,Cement a vápno
CZ-0168,CRYSTALITE BOHEMIA a.s.,CRYSTALITE BOHEMIA ,CRYSTAL Bohemia a.s.,"Zámecká 730, 582 91 Světlá nad Sázavou",2008,2025,31,Sklo
CZ-0055,RWE Gas Storage CZ - PZP Háje,PZP Háje,"Gas Storage, s.r.o. ","Příbram, část Jesenice 21, PSČ: 261 01, číslo katastru 636550, parcelní číslo  568/21",2008,2025,20,Výroba elektřiny a tepla
CZ-0056,NET4GAS - kompresní stanice Kralice nad Oslavou,Kompresní stanice Kralice nad Oslavou,"NET4GAS, s.r.o.",Kompresní stanice Kralice nad Oslavou; 67573 Kralice nad Oslavou,2008,2025,20,Výroba elektřiny a tepla
CZ-0057,NET4GAS - kompresní stanice Kouřim,Kompresní stanice Kouřim,"NET4GAS, s.r.o.","KS Kouřim, Obec Vitice, 281 61",2008,2025,20,Výroba elektřiny a tepla
CZ-0059,NET4GAS - kompresní stanice Břeclav,Kompresní stanice Břeclav,"NET4GAS, s.r.o.","Břeclav, 690 78",2008,2025,20,Výroba elektřiny a tepla
CZ-0060,NET4GAS - kompresní stanice Hostim,Kompresní stanice Hostim,"NET4GAS, s.r.o.",,2008,2013,1,Výroba elektřiny a tepla
CZ-0194,"ŠKODA AUTO, Plynová kotelna, Kvasiny","Plynová kotelna, Kvasiny",ŠKODA AUTO a.s. ,"Kvasiny 145, 51702 Kvasiny",2008,2025,20,Výroba elektřiny a tepla
CZ-0061,NET4GAS - kompresní stanice Veselí nad Lužnicí,Kompresní stanice Veselí nad Lužnicí,"NET4GAS, s.r.o.","Veselí nad Lužnicí - Žíšov, PSČ 391 81",2008,2025,20,Výroba elektřiny a tepla
CZ-0253,Teplárna Loučovice,Teplárna Loučovice,"Teplárna Loučovice, a.s.",382 76 Loučovice,2008,2020,20,Výroba elektřiny a tepla
CZ-0394,ČEZ Energetické služby - en. hosp. Mohelnice,En. hosp. Mohelnice,,,2008,2013,1,Výroba elektřiny a tepla
CZ-0313,Thermoservis spol. s r. o. - Kotelna ŽOS Nymburk,Kotelna ŽOS Nymburk,,,2008,2023,20,Výroba elektřiny a tepla
CZ-0314,Thermoservis spol. s r. o. - Kotelna CZT Nymburk,Kotelna CZT Nymburk,,,2008,2019,20,Výroba elektřiny a tepla
CZ-0219,"REFRASIL, s.r.o.",REFRASIL,"Refrasil, s.r.o.","Průmyslová 720, 739 65, Třinec - Konská",2008,2025,32,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0001,Paralax a.s. - Cihelna Nebužely,Cihelna Nebužely,,,2008,2015,32,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0345,Papos Trade s.r.o.,Papos Trade,"PAPOS Trade, s.r.o.","Moříčovská 251, 363 01 Ostrov",2008,2025,35,Papír
CZ-0008,EUROSERUM s.r.o.,EUROSERUM,,,2008,2018,20,Výroba elektřiny a tepla
CZ-0133,KG Energo s.r.o.,KG Energo,,,2008,2016,20,Výroba elektřiny a tepla
CZ-0399,"Plynová kotelna SPH-SLUŽBY, s.r.o.",Plynová kotelna,,,2008,2016,20,Výroba elektřiny a tepla
CZ-0159,"PLEAS a.s., Havlíčkův Brod","PLEAS, Havlíčkův Brod",,,2008,2019,20,Výroba elektřiny a tepla
CZ-0282,C-Energy Planá - Teplárna,Teplárna,C-Energy s.r.o.,"Průmyslová 748, Planá nad Lužnicí, PSČ 391 02",2008,2025,20,Výroba elektřiny a tepla
CZ-0382,Fakultní nemocnice v Motole - centrální kotelna,Centrální kotelna,Fakultní nemocnice v Motole,"V Úvalu 84, 150 05 Praha 5",2008,2025,20,Výroba elektřiny a tepla
CZ-0373,kotelny Mlékárny Hlinsko,Kotelny,,,2008,2015,20,Výroba elektřiny a tepla
CZ-0083,Jan Fiala - Cihelna Šterboholy,Cihelna Šterboholy,Jan Fiala - Cihelna Štěrboholy,,2008,2020,32,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0108,POLDI s.r.o.,POLDI,,,2008,2017,24,Železo a ocel
CZ-0184,"Crystal BOHEMIA, a.s.",Crystal BOHEMIA,Crystal BOHEMIA a.s.,,2008,2025,31,Sklo
CZ-0002,LASSELSBERGER - závod Borovany,Závod Borovany,"LASSELSBERGER, s.r.o.","Tovární 137, 373 12 Borovany",2008,2025,8,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0004,LASSELSBERGER - závod Chlumčany,Závod Chlumčany,"LASSELSBERGER, s.r.o.","U Keramičky 448, 33442 Chlumčany",2008,2025,8,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0033,České lupkové závody - Nové Strašecí,Nové Strašecí,"České lupkové závody, a.s.","Pecínov 1171, 271 01 Nové Strašecí",2008,2025,32,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0082,LASSELSBERGER - závod RAKO 3,Závod RAKO 3,"LASSELSBERGER, s.r.o.","Lubná 313, 27036 Lubná",2008,2025,8,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0109,"PRECIOSA ORNELA-Polubný,Příchovice a Desná","Polubný,Příchovice a Desná","Preciosa Ornela, a.s.",,2008,2025,31,Sklo
CZ-0179,VETROPACK MORAVIA GLASS,VETROPACK MORAVIA GLASS,"Vetropack Moravia Glass,akciová společnost Kyjov",,2008,2025,31,Sklo
CZ-0260,Heidelberg Materials CZ - závod Mokrá,Závod Mokrá,"Heidelberg Materials CZ, a.s.","Mokrá - Horákov 359, PSČ 664 04",2008,2025,29,Cement a vápno
CZ-0261,Heidelberg Materials CZ - závod Radotín,Závod Radotín,"Heidelberg Materials CZ, a.s.","K cementárně 1261/25, 15300 Praha-Radotín",2008,2025,29,Cement a vápno
CZ-0280,HELUZ cihlářský průmysl v.o.s.-Cihelna Libochovice,Cihelna Libochovice,"HELUZ cihlářský průmysl, a.s.","Pokorného 810, 41117 Libochovice",2008,2025,32,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0281,STOELZLE UNION s.r.o.,STOELZLE UNION,Stoelzle Union s.r.o.,"U Sklárny 300, 330 24 Heřmanova Huť",2008,2025,31,Sklo
CZ-0288,"Zlínské cihelny s.r.o., cihelna Žopy",Cihelna Žopy,,,2008,2023,32,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0289,"Zlínské cihelny s.r.o., cihelna Malenovice",Cihelna Malenovice,,,2008,2024,20,Výroba elektřiny a tepla
CZ-0301,CARMEUSE CZECH REPUBLIC s.r.o. - Vápenka Mokrá,Vápenka Mokrá,,,2008,2024,30,Cement a vápno
CZ-0306,HELUZ cihlářský průmysl - Cihelna Hevlín,Cihelna Hevlín,"HELUZ cihlářský průmysl, a.s.",67169 Hevlín,2008,2025,32,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0307,Fosfa - kotelna Fosfa,Kotelna Fosfa,,,2008,2024,20,Výroba elektřiny a tepla
CZ-0310,HELUZ cihlářský průmysl-Cihelna Dolní Bukovsko,Cihelna Dolní Bukovsko,"HELUZ cihlářský průmysl, a.s.","Dolní Bukovsko 295, 373 65 Dolní Bukovsko",2008,2025,32,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0337,BEFACOAL s.r.o. - kotelna Dobříš,Kotelna Dobříš,,,2008,2013,1,Výroba elektřiny a tepla
CZ-0355,Varroc Lighting Systems - kotelna,Kotelna,,,2008,2021,20,Výroba elektřiny a tepla
CZ-0364,LASSELSBERGER - závod Podbořany,Závod Podbořany,"LASSELSBERGER, s.r.o.","Dělnická 313, 441 25 Podbořany",2008,2025,8,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0372,"ORLEN UNIPETROL RPA, s.r.o. - RAFINÉRIE, Kralupy","RAFINÉRIE, Kralupy","ORLEN UNIPETROL RPA, s.r.o.","O.Wichterleho 809, 278 52 Kralupy nad Vltavou",2008,2025,21,Rafinace minerálních olejů
CZ-0379,"Cihelna Hodonín, s.r.o.",Cihelna Hodonín,"Cihelna Hodonín, s.r.o.",,2008,2025,8,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0381,"CEMEX Czech Republic, s.r.o.",CEMEX Czech Republic,"Cemex Czech Republic, s.r.o","Tovární 296, 538 04 Prachovice",2008,2025,29,Cement a vápno
CZ-0412,"Aircraft Industries, a. s. kotelna",Kotelna,,,2008,2021,20,Výroba elektřiny a tepla
CZ-0027,Cukrovar Hrušovany,Cukrovar Hrušovany,,,2008,2025,20,Výroba elektřiny a tepla
CZ-0411,Masokombinát Polička,Masokombinát Polička,,,2008,2015,20,Výroba elektřiny a tepla
