REGISTRY_CODE,INSTALLATION_IDENTIFIER,PERMIT_IDENTIFIER,INSTALLATION_NAME,IDENTIFIER_IN_REG,INSTALLATION_NAME_CLEAN,OPERATOR_NAME_CLEAN,OWNER_ASSIGNED,MAIN_ACTIVITY_TYPE_CODE,MAIN_ACTIVITY_TYPE_NAME,REAL_ACTIVITY,PERIOD_YEAR,VERIFIED_EMISSIONS,FREE_ALLOCATION (a+b+c),a_ALLOCATION,b_ALLOCATION_RESERVE,c_ALLOCATION_TRANSITIONAL
CZ,202027,CZ-0453-13,Válcovny trub Chomutov - divize Chomutov,Válcovny trub Chomutov - divize Chomutov,Divize Chomutov,Válcovny trub Chomutov,Z-Group,20,Combustion of fuels,Železo a ocel,2021,15833,13118.0,13118,0,0
CZ,276,CZ-0178-05,Vápenka Vitošov s.r.o.,Vápenka Vitošov s.r.o.,Vápenka Vitošov,Vápenka Vitošov,SigmaRoc,30,"Production of lime, or calcination of dolomite/magnesite",Cement a vápno,2021,307939,218235.0,218235,0,0
CZ,283,CZ-0144-05,Vápenka Čertovy schody,Vápenka čertovy schody a.s.,Vápenka Čertovy schody,Vápenka Čertovy schody,Lhoist,30,"Production of lime, or calcination of dolomite/magnesite",Cement a vápno,2021,403939,251346.0,251346,0,0
CZ,212941,CZ-0488-20,Výrobní linky formalínu,DUKOL,Výrobní linky formalínu,Dukol Ostrava,Dukol Ostrava ,42,Production of bulk chemicals,Chemikálie a hnojiva,2021,5634,6503.0,6503,0,0
CZ,269,CZ-0120-05,Wienerberger - Závod Blížejov,Wienerberger - Závod Blížejov,Závod Blížejov,Wienerberger,Wienerberger,32,Manufacture of ceramics,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)",2021,815,1863.0,1863,0,0
CZ,268,CZ-0074-05,Wienerberger - Závod Stod,Wienerberger - Závod Stod,Závod Stod,Wienerberger,Wienerberger,32,Manufacture of ceramics,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)",2021,10125,6045.0,6045,0,0
CZ,271,CZ-0123-05,Wienerberger - Závod Šlapanice,Wienerberger - Závod Šlapanice,Závod Šlapanice,Wienerberger,Wienerberger,32,Manufacture of ceramics,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)",2021,10721,8156.0,8156,0,0
CZ,256,CZ-0017-05,Wienerberger - závod Holice,Wienerberger - závod Holice,Závod Holice,Wienerberger,Wienerberger,32,Manufacture of ceramics,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)",2021,15011,20470.0,20470,0,0
CZ,248,CZ-0012-05,Wienerberger - závod Novosedly,Wienerberger - závod Novosedly,Závod Novosedly,Wienerberger,Wienerberger,32,Manufacture of ceramics,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)",2021,12736,23794.0,23794,0,0
CZ,250,CZ-0014-05,Wienerberger - závod Týn n/Vltavou,Wienerberger - závod Týn n/Vltavou,Závod Týn n/Vltavou,Wienerberger,Wienerberger,32,Manufacture of ceramics,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)",2021,16328,26638.0,26638,0,0
CZ,243,CZ-0010-05,Wienerberger - závod Řepov,Wienerberger - závod Řepov,Závod Řepov,Wienerberger,Wienerberger,32,Manufacture of ceramics,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)",2021,3735,4224.0,4224,0,0
CZ,380,CZ-0020-05,Wienerberger cihelna Jezernice,Wienerberger cihelna Jezernice,Cihelna Jezernice,Wienerberger,Wienerberger,32,Manufacture of ceramics,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)",2021,30856,47708.0,47708,0,0
CZ,183,CZ-0298-05,"Wotan Forest, a.s.","Wotan Forest, a.s.",Wotan Forest,Wotan Forest,AGROFERT,20,Combustion of fuels,Ostatní odvětví,2021,186,5345.0,5345,0,0
CZ,171,CZ-0267-05,Z-Group - Železárny Hrádek,Z-Group a.s. - Železárny Hrádek,Železárny Hrádek,Z-Group,Z-Group,24,Production of pig iron or steel,Železo a ocel,2021,5472,2872.0,2872,0,0
CZ,186,CZ-0308-05,"ZVVZ ENERGO, s.r.o. - Milevsko - kotelna","ZVVZ ENERGO, s.r.o. - Milevsko",Milevsko – kotelna,ZVVZ ENERGO,ZVVZ,20,Combustion of fuels,Ostatní odvětví,2021,2943,1840.0,1840,0,0
CZ,332,CZ-0289-05,"Zlínské cihelny s.r.o., cihelna Malenovice",Zlínské cihelny - cihelna Malenovice,Cihelna Malenovice,Zlínské cihelny,Zlínské cihelny ,20,Combustion of fuels,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)",2021,82,1374.0,1374,0,0
CZ,331,CZ-0288-05,"Zlínské cihelny s.r.o., cihelna Žopy",Zlínské cihelny - cihelna Žopy,Cihelna Žopy,Zlínské cihelny,Zlínské cihelny ,32,Manufacture of ceramics,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)",2021,1451,1332.0,1332,0,0
CZ,6,CZ-0024-05,innogy Energo - Teplárna Náchod,innogy Energo - Teplárna Náchod,Teplárna Náchod,innogy Energo,MVM,20,Combustion of fuels,Výroba elektřiny a tepla,2021,11727,3194.0,3194,0,0
CZ,160,CZ-0247-05,kotelna Cukrovar Litovel,kotelna Cukrovar Litovel,Kotelna,Cukrovar Litovel,Litovelská cukrovarna,20,Combustion of fuels,Potravinářský průmysl,2021,25699,9011.0,9011,0,0
CZ,162,CZ-0249-05,kotelna Semperflex Optimit,kotelna Semperflex Optimit,Kotelna,Semperflex Optimit,Semperit,20,Combustion of fuels,Ostatní odvětví,2021,712,1192.0,1192,0,0
CZ,258,CZ-0141-05,ČESKOLIPSKÁ TEPLÁRENSKÁ - Výtopna LOOS Stará Lípa,ČESKOLIPSKÁ TEPLÁRENSKÁ - Výtopna LOOS Stará Lípa,Výtopna LOOS Stará Lípa,ČESKOLIPSKÁ TEPLÁRENSKÁ,ENETIQA,20,Combustion of fuels,Výroba elektřiny a tepla,2021,10447,2077.0,2077,0,0
CZ,151,CZ-0237-05,ČEZ - Teplárna Trmice,ČEZ - Teplárna Trmice,Teplárna Trmice,ČEZ,ČEZ,20,Combustion of fuels,Výroba elektřiny a tepla,2021,474569,60073.0,60073,0,0
CZ,224,CZ-0302-05,ČEZ Energetické služby - Kotelna Vítkovice I,"ČEZ ESL, s.r.o., Vítkovice",Kotelna Vítkovice I,ČEZ ESL,ČEZ,20,Combustion of fuels,Výroba elektřiny a tepla,2021,14864,3715.0,3715,0,0
CZ,118,CZ-0198-05,"ČEZ, a. s. - Elektrárna Dětmarovice",ČEZ - Elektrárna Dětmarovice,Elektrárna Dětmarovice,ČEZ,ČEZ,20,Combustion of fuels,Výroba elektřiny a tepla,2021,1165576,8610.0,8610,0,0
CZ,119,CZ-0199-05,"ČEZ, a. s. - Elektrárna Hodonín",ČEZ - Elektrárna Hodonín,Elektrárna Hodonín,ČEZ,ČEZ,20,Combustion of fuels,Výroba elektřiny a tepla,2021,29819,5852.0,5852,0,0
