country,code,pop,gdp,gdp_ppp,ghg,electricity
Gambia,GMB,2416664.0,1901930157.64528,5218645522.23822,2186.288020804658,0.323433333333333
Georgia,GEO,3714000.0,15891688903.1843,52327668866.7403,16090.970752981993,12.99156
Germany,DEU,83240525.0,3806060140124.52,4238803816109.81,862027.9146695732,571.199999999999
Ghana,GHA,31072945.0,72354428864.9032,164841461285.895,37220.71844033625,11.402016
Gibraltar,GIB,33691.0,,,810.5809941091,0.19928
Greece,GRC,10715549.0,189410106620.016,292396079249.754,85019.98072550516,59.9754576369999
Greenland,GRL,56367.0,,,588.552674376384,0.5133
Grenada,GRD,112519.0,1089203703.7037,1695196846.35084,284.446073236468,0.224495
Guam,GUM,168783.0,6311000000.0,,66.76332031852999,1.73499999999999
Guatemala,GTM,16858333.0,77604632170.5853,141496787478.451,41671.65103860045,11.5141233333333
Guinea,GIN,13132792.0,15681050917.1588,35075367590.8976,25233.41556459712,2.30969866666666
Guinea-Bissau,GNB,1967998.0,1431758242.90375,3635809046.52082,3007.8927710666003,0.044
Guyana,GUY,786559.0,5471256594.72422,14692906570.3734,5090.191511270383,1.110925
Haiti,HTI,11402533.0,13417997065.1099,31620151768.2666,14348.5936689714,0.997243333333333
Honduras,HND,9904608.0,23827840809.7014,50893693122.0963,23252.373216458083,9.52435333333333
Hong Kong,HKG,7481800.0,346585881503.635,420132783958.269,49549.30701045017,47.0676666666666
Hungary,HUN,9749763.0,155012927629.087,302318393122.688,65220.86641909239,46.4371907649999
Iceland,ISL,366425.0,21714670569.6033,19156599644.3613,4725.396378734552,19.264653
India,IND,1380004385.0,2622983732006.45,8443359944658.61,3614166.4377827183,1376.58234
Indonesia,IDN,273523621.0,1058423838345.14,3130467088164.9,1097332.3097808629,282.81795
"Iran, Islamic Republic of",IRN,83992953.0,191718271483.759,1044309328496.23,929847.2554052668,302.245043333333
Iraq,IRQ,40222503.0,167224432560.319,372269598542.588,364610.3216990087,107.532359999999
Ireland,IRL,4994724.0,418621818482.305,447971585855.516,67353.55502278433,31.0409854539998
Israel,ISR,9216900.0,401953804837.087,353387997745.697,82734.1025933608,61.065982
Italy,ITA,59554023.0,1886445268340.71,2322139301486.58,403050.00050036464,328.205763859999
Jamaica,JAM,2961161.0,13812421803.4084,25885138252.1745,10255.717665047561,4.19094666666666
